id_loan,loan_intent,loan_grade,loan_amount,loan_int_rate,loan_status,loan_percent_income,fk_cp
1,PERSONAL,D,35000,16.02,1,0.59,1
2,EDUCATION,B,1000,11.14,0,0.1,2
3,MEDICAL,C,5500,12.87,1,0.57,3
4,MEDICAL,C,35000,15.23,1,0.53,4
5,MEDICAL,C,35000,14.27,1,0.55,5
6,VENTURE,A,2500,7.14,1,0.25,6
7,EDUCATION,B,35000,12.42,1,0.45,7
8,MEDICAL,B,35000,11.11,1,0.44,8
9,PERSONAL,A,35000,8.9,1,0.42,9
10,VENTURE,D,1600,14.74,1,0.16,10
11,VENTURE,B,35000,10.37,1,0.41,11
12,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,12
13,VENTURE,A,35000,7.9,1,0.37,13
14,EDUCATION,E,35000,18.39,1,0.32,14
15,EDUCATION,A,35000,7.9,0,0.3,15
16,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,16
17,EDUCATION,A,35000,7.9,0,0.29,17
18,MEDICAL,F,35000,20.25,1,0.32,18
19,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,19
20,EDUCATION,B,1750,10.99,1,0.16,20
21,VENTURE,A,35000,7.49,0,0.22,21
22,PERSONAL,E,34800,16.77,0,0.25,22
23,EDUCATION,D,34000,17.58,1,0.52,23
24,PERSONAL,A,1500,7.29,0,0.14,24
25,PERSONAL,D,33950,14.54,1,0.42,25
26,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,26
27,VENTURE,E,4575,17.74,1,0.42,27
28,PERSONAL,A,1400,9.32,0,0.13,28
29,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,29
30,EDUCATION,C,4000,12.84,1,0.35,30
31,MEDICAL,B,2000,11.12,1,0.17,31
32,VENTURE,A,32000,6.62,0,0.27,32
33,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,33
34,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,34
35,MEDICAL,C,7800,13.49,0,0.03,35
36,EDUCATION,A,2500,7.51,1,0.21,36
37,EDUCATION,E,30000,18.39,1,0.63,37
38,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,38
39,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,39
40,DEBTCONSOLIDATION,D,30000,,1,0.42,40
41,MEDICAL,E,30000,17.99,1,0.41,41
42,VENTURE,B,2500,12.69,1,0.21,42
43,VENTURE,A,20000,7.88,0,0.07,43
44,EDUCATION,F,24250,19.41,0,0.08,44
45,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,45
46,EDUCATION,D,25000,15.33,0,0.08,46
47,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,47
48,PERSONAL,A,30000,7.49,1,0.37,48
49,MEDICAL,B,30000,12.69,1,0.38,49
50,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,50
51,DEBTCONSOLIDATION,D,30000,,1,0.38,51
52,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,52
53,PERSONAL,C,30000,15.23,1,0.33,53
54,VENTURE,B,30000,10.65,1,0.31,54
55,EDUCATION,A,30000,7.9,0,0.25,55
56,PERSONAL,C,10000,15.96,0,0.04,56
57,VENTURE,B,20000,11.48,0,0.07,57
58,PERSONAL,A,35000,,0,0.13,58
59,PERSONAL,A,30000,7.29,0,0.23,59
60,VENTURE,E,1750,,0,0.15,60
61,VENTURE,A,30000,5.99,0,0.23,61
62,VENTURE,B,12000,11.58,0,0.04,62
63,EDUCATION,B,10000,,1,0.04,63
64,MEDICAL,D,25000,15.7,1,0.1,64
65,EDUCATION,D,29100,15.99,1,0.42,65
66,EDUCATION,D,1500,14.84,0,0.13,66
67,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,67
68,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,68
69,EDUCATION,A,9600,6.99,0,0.04,69
70,MEDICAL,C,25000,13.49,0,0.1,70
71,MEDICAL,C,3000,,1,0.25,71
72,MEDICAL,A,28000,,1,0.49,72
73,EDUCATION,C,3000,13.61,1,0.25,73
74,EDUCATION,A,28000,7.9,1,0.43,74
75,VENTURE,A,28000,7.49,1,0.33,75
76,EDUCATION,A,6100,7.51,1,0.51,76
77,VENTURE,B,28000,9.91,1,0.32,77
78,PERSONAL,C,4200,13.48,1,0.35,78
79,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,79
80,VENTURE,D,28000,15.99,1,0.34,80
81,EDUCATION,C,18000,12.98,0,0.07,81
82,VENTURE,C,4800,13.57,0,0.02,82
83,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,83
84,EDUCATION,A,28000,8.9,0,0.25,84
85,DEBTCONSOLIDATION,A,2700,,1,0.23,85
86,EDUCATION,B,28000,,1,0.26,86
87,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,87
88,HOMEIMPROVEMENT,A,27600,,1,0.4,88
89,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,89
90,EDUCATION,C,27500,13.06,1,0.39,90
91,PERSONAL,B,25000,,0,0.1,91
92,VENTURE,D,27050,15.62,1,0.37,92
93,PERSONAL,C,27000,13.49,1,0.33,93
94,VENTURE,D,27000,,1,0.37,94
95,MEDICAL,B,26000,11.71,1,0.42,95
96,EDUCATION,B,25600,12.69,0,0.21,96
97,MEDICAL,C,1600,13.57,0,0.13,97
98,VENTURE,B,25475,10.99,1,0.42,98
99,MEDICAL,C,20000,14.27,0,0.09,99
100,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,100
101,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,101
102,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,102
103,MEDICAL,C,25000,14.17,0,0.11,103
104,MEDICAL,C,35000,13.99,0,0.15,104
105,EDUCATION,B,25300,10.99,1,0.3,105
106,PERSONAL,A,2000,5.42,1,0.16,106
107,PERSONAL,C,1750,13.61,0,0.14,107
108,EDUCATION,C,25000,12.73,1,0.59,108
109,HOMEIMPROVEMENT,D,25000,,1,0.61,109
110,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,110
111,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,111
112,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,112
113,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,113
114,EDUCATION,B,35000,10.65,1,0.16,114
115,MEDICAL,B,6000,,0,0.03,115
116,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,116
117,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,117
118,MEDICAL,D,25000,14.59,1,0.6,118
119,EDUCATION,B,25000,9.64,1,0.52,119
120,MEDICAL,D,3600,14.59,1,0.28,120
121,EDUCATION,B,4750,,1,0.37,121
122,EDUCATION,E,25000,16.35,1,0.59,122
123,EDUCATION,B,25000,10.99,1,0.51,123
124,VENTURE,F,25000,18.67,0,0.11,124
125,EDUCATION,A,3000,9.32,0,0.01,125
126,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,126
127,VENTURE,B,25000,10.08,0,0.11,127
128,PERSONAL,B,25000,11.83,1,0.51,128
129,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,129
130,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,130
131,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,131
132,VENTURE,B,25000,11.83,1,0.5,132
133,VENTURE,B,25000,10.36,1,0.5,133
134,VENTURE,C,25000,12.23,1,0.5,134
135,EDUCATION,B,25000,11.11,1,0.48,135
136,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,136
137,EDUCATION,B,25000,11.58,0,0.11,137
138,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,138
139,EDUCATION,D,25000,16.07,0,0.12,139
140,EDUCATION,C,20000,14.22,0,0.09,140
141,MEDICAL,C,35000,14.79,0,0.16,141
142,EDUCATION,A,12000,7.88,0,0.06,142
143,PERSONAL,C,25000,13.22,1,0.48,143
144,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,144
145,EDUCATION,C,25000,13.43,1,0.47,145
146,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,146
147,VENTURE,E,25000,17.93,1,0.53,147
148,EDUCATION,B,1400,9.25,0,0.11,148
149,VENTURE,C,4500,12.98,1,0.34,149
150,VENTURE,B,16000,10.62,0,0.08,150
151,PERSONAL,B,22000,11.83,0,0.1,151
152,VENTURE,F,25000,18.43,1,0.52,152
153,EDUCATION,B,25000,,1,0.45,153
154,HOMEIMPROVEMENT,D,25000,,1,0.45,154
155,EDUCATION,B,25000,11.36,1,0.45,155
156,EDUCATION,D,25000,15.65,1,0.45,156
157,PERSONAL,C,25000,13.22,1,0.45,157
158,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,158
159,MEDICAL,C,20000,13.04,0,0.1,159
160,EDUCATION,F,22000,17.58,1,0.12,160
161,PERSONAL,E,7750,17.04,1,0.56,161
162,PERSONAL,B,25000,10.99,1,0.42,162
163,PERSONAL,B,25000,11.11,1,0.42,163
164,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,164
165,DEBTCONSOLIDATION,D,4000,,1,0.29,165
166,MEDICAL,B,12000,12.69,0,0.06,166
167,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,167
168,EDUCATION,C,16000,14.65,0,0.08,168
169,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,169
170,PERSONAL,C,25000,12.73,1,0.42,170
171,PERSONAL,B,25000,10.25,1,0.42,171
172,EDUCATION,B,25000,10.99,1,0.42,172
173,MEDICAL,C,25000,12.73,1,0.4,173
174,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,174
175,EDUCATION,A,28000,,0,0.14,175
176,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,176
177,VENTURE,A,24000,7.49,0,0.12,177
178,EDUCATION,C,15000,14.79,0,0.07,178
179,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,179
180,EDUCATION,A,10000,8.49,0,0.05,180
181,EDUCATION,B,25000,9.91,1,0.38,181
182,EDUCATION,C,25000,13.06,1,0.38,182
183,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,183
184,EDUCATION,B,6000,11.86,0,0.03,184
185,EDUCATION,D,18000,16.32,0,0.09,185
186,VENTURE,B,12000,10.38,0,0.06,186
187,PERSONAL,C,23050,14.35,0,0.12,187
188,DEBTCONSOLIDATION,B,20000,,0,0.1,188
189,DEBTCONSOLIDATION,E,25000,,1,0.42,189
190,HOMEIMPROVEMENT,B,3000,,1,0.21,190
191,PERSONAL,D,25000,15.21,1,0.37,191
192,EDUCATION,A,25000,7.9,1,0.37,192
193,VENTURE,B,25000,10.99,1,0.37,193
194,PERSONAL,D,25000,14.09,1,0.37,194
195,PERSONAL,D,25000,17.49,1,0.36,195
196,EDUCATION,B,12000,11.48,0,0.06,196
197,VENTURE,E,20000,17.74,1,0.11,197
198,PERSONAL,C,3000,13.92,0,0.01,198
199,EDUCATION,D,25000,15.21,1,0.36,199
200,MEDICAL,B,4000,10.99,1,0.28,200
201,EDUCATION,B,25000,11.86,1,0.36,201
202,PERSONAL,A,6000,7.49,1,0.42,202
203,MEDICAL,D,25000,16.49,1,0.38,203
204,VENTURE,D,25000,15.33,1,0.38,204
205,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,205
206,EDUCATION,A,5375,5.79,1,0.37,206
207,MEDICAL,C,25000,13.11,1,0.34,207
208,MEDICAL,B,25000,10.36,1,0.34,208
209,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,209
210,MEDICAL,C,22000,,0,0.11,210
211,VENTURE,A,20000,6.54,0,0.1,211
212,MEDICAL,B,10000,12.53,0,0.05,212
213,PERSONAL,A,15000,,0,0.08,213
214,VENTURE,C,10000,,0,0.05,214
215,EDUCATION,B,25000,10.25,1,0.33,215
216,EDUCATION,D,25000,15.95,1,0.35,216
217,VENTURE,B,20000,12.18,0,0.11,217
218,PERSONAL,B,24000,11.83,0,0.13,218
219,DEBTCONSOLIDATION,C,25000,,1,0.32,219
220,VENTURE,B,25000,10.62,1,0.32,220
221,VENTURE,B,25000,10.74,1,0.32,221
222,VENTURE,B,10000,10.25,0,0.05,222
223,EDUCATION,B,35000,12.42,0,0.19,223
224,VENTURE,C,15000,15.27,0,0.08,224
225,MEDICAL,D,25000,15.33,1,0.34,225
226,VENTURE,D,25000,15.21,1,0.31,226
227,VENTURE,C,6250,14.72,1,0.43,227
228,PERSONAL,D,25000,15.7,1,0.31,228
229,EDUCATION,C,25000,13.35,1,0.31,229
230,MEDICAL,C,1500,,0,0.1,230
231,EDUCATION,A,25000,6.62,1,0.31,231
232,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,232
233,MEDICAL,B,25000,11.36,0,0.14,233
234,PERSONAL,A,5000,7.68,0,0.03,234
235,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,235
236,EDUCATION,B,2500,11.83,0,0.01,236
237,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,237
238,MEDICAL,B,20000,11.49,0,0.11,238
239,EDUCATION,A,1000,,0,0.01,239
240,PERSONAL,A,15000,6.03,0,0.08,240
241,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,241
242,DEBTCONSOLIDATION,D,25000,,1,0.34,242
243,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,243
244,MEDICAL,B,25000,11.36,1,0.31,244
245,VENTURE,B,25000,10.25,0,0.3,245
246,EDUCATION,B,25000,11.12,0,0.3,246
247,PERSONAL,D,25000,12.92,0,0.3,247
248,EDUCATION,E,18000,18.64,0,0.1,248
249,PERSONAL,A,28000,7.51,0,0.16,249
250,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,250
251,PERSONAL,B,2100,11.14,0,0.15,251
252,PERSONAL,F,25000,18.3,0,0.3,252
253,MEDICAL,B,25000,10.62,0,0.29,253
254,VENTURE,B,14000,11.99,0,0.08,254
255,VENTURE,B,12000,9.63,0,0.07,255
256,MEDICAL,F,10000,18.25,1,0.06,256
257,DEBTCONSOLIDATION,C,6000,,1,0.41,257
258,HOMEIMPROVEMENT,D,25000,14.84,0,0.29,258
259,VENTURE,E,25000,14.7,1,0.33,259
260,DEBTCONSOLIDATION,D,25000,16.02,1,0.33,260
261,MEDICAL,D,25000,15.37,1,0.32,261
262,MEDICAL,B,25000,10.99,0,0.28,262
263,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,263
264,PERSONAL,B,25000,10.99,0,0.14,264
265,EDUCATION,B,21000,11.48,0,0.12,265
266,MEDICAL,C,20000,14.26,0,0.11,266
267,HOMEIMPROVEMENT,A,10000,8,0,0.06,267
268,VENTURE,B,9950,11.26,0,0.06,268
269,MEDICAL,B,4475,,1,0.3,269
270,VENTURE,D,25000,16.32,1,0.32,270
271,MEDICAL,E,25000,17.93,1,0.32,271
272,DEBTCONSOLIDATION,B,25000,11.36,0,0.28,272
273,DEBTCONSOLIDATION,D,25000,14.96,1,0.32,273
274,PERSONAL,C,25000,13.43,0,0.27,274
275,HOMEIMPROVEMENT,B,25000,12.69,0,0.27,275
276,VENTURE,C,25000,12.73,0,0.27,276
277,VENTURE,D,25000,15.21,0,0.27,277
278,MEDICAL,C,1750,12.68,0,0.12,278
279,MEDICAL,F,25000,19.04,1,0.3,279
280,DEBTCONSOLIDATION,D,25000,15.95,1,0.3,280
281,VENTURE,A,2600,8.9,0,0.01,281
282,HOMEIMPROVEMENT,A,8000,7.9,0,0.05,282
283,EDUCATION,B,18000,,0,0.1,283
284,PERSONAL,B,21000,11.99,0,0.12,284
285,DEBTCONSOLIDATION,C,4000,13.98,1,0.27,285
286,VENTURE,B,4600,10.99,1,0.31,286
